go_id,name_1006,namespace_1003
GO:0006184,obsolete GTP catabolic process,biological_process
GO:0046983,protein dimerization activity,molecular_function
GO:0000287,magnesium ion binding,molecular_function
GO:0004012,phospholipid-translocating ATPase activity,molecular_function
GO:0015914,phospholipid transport,biological_process
GO:0008685,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity",molecular_function
GO:0016114,terpenoid biosynthetic process,biological_process
GO:0005739,mitochondrion,cellular_component
GO:0008299,isoprenoid biosynthetic process,biological_process
GO:0009507,chloroplast,cellular_component
GO:0009536,plastid,cellular_component
GO:0009570,chloroplast stroma,cellular_component
GO:0015995,chlorophyll biosynthetic process,biological_process
GO:0016117,carotenoid biosynthetic process,biological_process
GO:0016829,lyase activity,molecular_function
GO:0003993,acid phosphatase activity,molecular_function
GO:0016311,dephosphorylation,biological_process
GO:0016791,phosphatase activity,molecular_function
GO:0030643,cellular phosphate ion homeostasis,biological_process
GO:0042542,response to hydrogen peroxide,biological_process
GO:0003777,microtubule motor activity,molecular_function
GO:0005871,kinesin complex,cellular_component
GO:0005874,microtubule,cellular_component
GO:0006200,obsolete ATP catabolic process,biological_process
GO:0007018,microtubule-based movement,biological_process
GO:0008017,microtubule binding,molecular_function
GO:0016887,ATPase activity,molecular_function
GO:0005783,endoplasmic reticulum,cellular_component
GO:0009055,electron carrier activity,molecular_function
GO:0009416,response to light stimulus,biological_process
GO:0009826,unidimensional cell growth,biological_process
GO:0016131,brassinosteroid metabolic process,biological_process
GO:0004713,protein tyrosine kinase activity,molecular_function
GO:0006457,protein folding,biological_process
GO:0042026,protein refolding,biological_process
GO:0030246,carbohydrate binding,molecular_function
GO:0005575,cellular_component,cellular_component
GO:0010012,steroid 22-alpha hydroxylase activity,molecular_function
GO:0016132,brassinosteroid biosynthetic process,biological_process
GO:0019825,oxygen binding,molecular_function
GO:0016706,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors",molecular_function
GO:0051213,dioxygenase activity,molecular_function
GO:0008762,UDP-N-acetylmuramate dehydrogenase activity,molecular_function
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",molecular_function
GO:0050660,flavin adenine dinucleotide binding,molecular_function
GO:0032259,methylation,biological_process
GO:0030001,metal ion transport,biological_process
GO:0003682,chromatin binding,molecular_function
GO:0006633,fatty acid biosynthetic process,biological_process
GO:0008610,lipid biosynthetic process,biological_process
GO:0016746,"transferase activity, transferring acyl groups",molecular_function
GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",molecular_function
GO:0006886,intracellular protein transport,biological_process
GO:0006913,nucleocytoplasmic transport,biological_process
GO:0007264,small GTPase mediated signal transduction,biological_process
GO:0015031,protein transport,biological_process
GO:0030742,GTP-dependent protein binding,molecular_function
GO:0080115,myosin XI tail binding,molecular_function
GO:0004435,phosphatidylinositol phospholipase C activity,molecular_function
GO:0004871,signal transducer activity,molecular_function
GO:0006629,lipid metabolic process,biological_process
GO:0008081,phosphoric diester hydrolase activity,molecular_function
GO:0016042,lipid catabolic process,biological_process
GO:0035556,intracellular signal transduction,biological_process
GO:0000226,microtubule cytoskeleton organization,biological_process
GO:0000910,cytokinesis,biological_process
GO:0005829,cytosol,cellular_component
GO:0004675,transmembrane receptor protein serine/threonine kinase activity,molecular_function
GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,biological_process
GO:0048041,focal adhesion assembly,biological_process
GO:0009744,response to sucrose,biological_process
GO:0043562,cellular response to nitrogen levels,biological_process
GO:0005484,SNAP receptor activity,molecular_function
GO:0016192,vesicle-mediated transport,biological_process
GO:0061025,membrane fusion,biological_process
GO:0019898,extrinsic component of membrane,cellular_component
GO:0015035,protein disulfide oxidoreductase activity,molecular_function
GO:0045454,cell redox homeostasis,biological_process
GO:0008234,cysteine-type peptidase activity,molecular_function
GO:0010623,developmental programmed cell death,biological_process
GO:0005672,transcription factor TFIIA complex,cellular_component
GO:0006367,transcription initiation from RNA polymerase II promoter,biological_process
GO:0005789,endoplasmic reticulum membrane,cellular_component
GO:0006487,protein N-linked glycosylation,biological_process
GO:0006970,response to osmotic stress,biological_process
GO:0009832,plant-type cell wall biogenesis,biological_process
GO:0016597,amino acid binding,molecular_function
GO:0016758,"transferase activity, transferring hexosyl groups",molecular_function
GO:0000148,"1,3-beta-D-glucan synthase complex",cellular_component
GO:0003843,"1,3-beta-D-glucan synthase activity",molecular_function
GO:0006075,(1->3)-beta-D-glucan biosynthetic process,biological_process
GO:0000064,L-ornithine transmembrane transporter activity,molecular_function
GO:0006561,proline biosynthetic process,biological_process
GO:0006972,hyperosmotic response,biological_process
GO:0015822,ornithine transport,biological_process
GO:0043091,L-arginine import,biological_process
GO:0004784,superoxide dismutase activity,molecular_function
GO:0006801,superoxide metabolic process,biological_process
GO:0009295,nucleoid,cellular_component
GO:0009579,thylakoid,cellular_component
GO:0019430,removal of superoxide radicals,biological_process
GO:0042644,chloroplast nucleoid,cellular_component
GO:0042646,plastid nucleoid,cellular_component
GO:0004197,cysteine-type endopeptidase activity,molecular_function
GO:0005773,vacuole,cellular_component
GO:0050790,regulation of catalytic activity,biological_process
GO:0004514,nicotinate-nucleotide diphosphorylase (carboxylating) activity,molecular_function
GO:0009435,NAD biosynthetic process,biological_process
GO:0016763,"transferase activity, transferring pentosyl groups",molecular_function
GO:0019363,pyridine nucleotide biosynthetic process,biological_process
GO:0000085,mitotic G2 phase,biological_process
GO:0000278,mitotic cell cycle,biological_process
GO:0000775,"chromosome, centromeric region",cellular_component
GO:0000911,cytokinesis by cell plate formation,biological_process
GO:0005819,spindle,cellular_component
GO:0006342,chromatin silencing,biological_process
GO:0007049,cell cycle,biological_process
GO:0007059,chromosome segregation,biological_process
GO:0009640,photomorphogenesis,biological_process
GO:0009966,regulation of signal transduction,biological_process
GO:0010388,cullin deneddylation,biological_process
GO:0016571,histone methylation,biological_process
GO:0016572,histone phosphorylation,biological_process
GO:0016579,protein deubiquitination,biological_process
GO:0032465,regulation of cytokinesis,biological_process
GO:0035175,histone kinase activity (H3-S10 specific),molecular_function
GO:0043987,histone H3-S10 phosphorylation,biological_process
GO:0043988,histone H3-S28 phosphorylation,biological_process
GO:0044022,histone kinase activity (H3-S28 specific),molecular_function
GO:0045893,"positive regulation of transcription, DNA-templated",biological_process
GO:0051567,histone H3-K9 methylation,biological_process
GO:0004722,protein serine/threonine phosphatase activity,molecular_function
GO:0006470,protein dephosphorylation,biological_process
GO:0009738,abscisic acid-activated signaling pathway,biological_process
GO:0000398,"mRNA splicing, via spliceosome",biological_process
GO:0005681,spliceosomal complex,cellular_component
GO:0005732,small nucleolar ribonucleoprotein complex,cellular_component
GO:0006396,RNA processing,biological_process
GO:0009611,response to wounding,biological_process
GO:0009625,response to insect,biological_process
GO:0009641,shade avoidance,biological_process
GO:0009753,response to jasmonic acid,biological_process
GO:0009867,jasmonic acid mediated signaling pathway,biological_process
GO:0009909,regulation of flower development,biological_process
GO:0010118,stomatal movement,biological_process
GO:0010218,response to far red light,biological_process
GO:0019005,SCF ubiquitin ligase complex,cellular_component
GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,biological_process
GO:0031348,negative regulation of defense response,biological_process
GO:0042742,defense response to bacterium,biological_process
GO:0050832,defense response to fungus,biological_process
GO:0005310,dicarboxylic acid transmembrane transporter activity,molecular_function
GO:0006835,dicarboxylic acid transport,biological_process
GO:0006839,mitochondrial transport,biological_process
GO:0031966,mitochondrial membrane,cellular_component
GO:0031011,Ino80 complex,cellular_component
GO:0005741,mitochondrial outer membrane,cellular_component
GO:0006820,anion transport,biological_process
GO:0008308,voltage-gated anion channel activity,molecular_function
GO:0044070,regulation of anion transport,biological_process
GO:0005471,ATP:ADP antiporter activity,molecular_function
GO:0001510,RNA methylation,biological_process
GO:0006364,rRNA processing,biological_process
GO:0008033,tRNA processing,biological_process
GO:0000159,protein phosphatase type 2A complex,cellular_component
GO:0008601,protein phosphatase type 2A regulator activity,molecular_function
GO:0000502,proteasome complex,cellular_component
GO:0008540,"proteasome regulatory particle, base subcomplex",cellular_component
GO:0017111,nucleoside-triphosphatase activity,molecular_function
GO:0030163,protein catabolic process,biological_process
GO:0005777,peroxisome,cellular_component
GO:0016853,isomerase activity,molecular_function
GO:0005507,copper ion binding,molecular_function
GO:0009308,amine metabolic process,biological_process
GO:0009790,embryo development,biological_process
GO:0017126,nucleologenesis,biological_process
GO:0048038,quinone binding,molecular_function
GO:0051302,regulation of cell division,biological_process
GO:0031047,gene silencing by RNA,biological_process
GO:0009941,chloroplast envelope,cellular_component
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",biological_process
GO:0000932,cytoplasmic mRNA processing body,cellular_component
GO:0007126,meiotic nuclear division,biological_process
GO:0090306,spindle assembly involved in meiosis,biological_process
GO:0004866,endopeptidase inhibitor activity,molecular_function
GO:0003743,translation initiation factor activity,molecular_function
GO:0006413,translational initiation,biological_process
GO:0016298,lipase activity,molecular_function
GO:0016788,"hydrolase activity, acting on ester bonds",molecular_function
GO:0032957,inositol trisphosphate metabolic process,biological_process
GO:0047325,inositol tetrakisphosphate 1-kinase activity,molecular_function
GO:0052725,"inositol-1,3,4-trisphosphate 6-kinase activity",molecular_function
GO:0052726,"inositol-1,3,4-trisphosphate 5-kinase activity",molecular_function
GO:0000150,recombinase activity,molecular_function
GO:0000724,double-strand break repair via homologous recombination,biological_process
GO:0003684,damaged DNA binding,molecular_function
GO:0003690,double-stranded DNA binding,molecular_function
GO:0003697,single-stranded DNA binding,molecular_function
GO:0005694,chromosome,cellular_component
GO:0006259,DNA metabolic process,biological_process
GO:0006261,DNA-dependent DNA replication,biological_process
GO:0006275,regulation of DNA replication,biological_process
GO:0006281,DNA repair,biological_process
GO:0006302,double-strand break repair,biological_process
GO:0006306,DNA methylation,biological_process
GO:0008094,DNA-dependent ATPase activity,molecular_function
GO:0009314,response to radiation,biological_process
GO:0009555,pollen development,biological_process
GO:0010212,response to ionizing radiation,biological_process
GO:0010332,response to gamma radiation,biological_process
GO:0016444,somatic cell DNA recombination,biological_process
GO:0016568,chromatin modification,biological_process
GO:0045003,double-strand break repair via synthesis-dependent strand annealing,biological_process
GO:0051726,regulation of cell cycle,biological_process
GO:1990426,homologous recombination-dependent replication fork processing,biological_process
GO:0006627,protein processing involved in protein targeting to mitochondrion,biological_process
GO:0042720,mitochondrial inner membrane peptidase complex,cellular_component
GO:0006479,protein methylation,biological_process
GO:0016126,sterol biosynthetic process,biological_process
GO:0052541,plant-type cell wall cellulose metabolic process,biological_process
GO:0052546,cell wall pectin metabolic process,biological_process
GO:0005545,1-phosphatidylinositol binding,molecular_function
GO:0030118,clathrin coat,cellular_component
GO:0030136,clathrin-coated vesicle,cellular_component
GO:0030276,clathrin binding,molecular_function
GO:0048268,clathrin coat assembly,biological_process
GO:0000145,exocyst,cellular_component
GO:0006887,exocytosis,biological_process
GO:0048278,vesicle docking,biological_process
GO:0009411,response to UV,biological_process
GO:0009813,flavonoid biosynthetic process,biological_process
GO:0030599,pectinesterase activity,molecular_function
GO:0042545,cell wall modification,biological_process
GO:0045330,aspartyl esterase activity,molecular_function
GO:0000786,nucleosome,cellular_component
GO:0046982,protein heterodimerization activity,molecular_function
GO:0035251,UDP-glucosyltransferase activity,molecular_function
GO:0047213,anthocyanidin 3-O-glucosyltransferase activity,molecular_function
GO:0051555,flavonol biosynthetic process,biological_process
GO:0080043,quercetin 3-O-glucosyltransferase activity,molecular_function
GO:0080059,flavonol 3-O-arabinosyltransferase activity,molecular_function
GO:0001666,response to hypoxia,biological_process
GO:0016831,carboxy-lyase activity,molecular_function
GO:0030976,thiamine pyrophosphate binding,molecular_function
GO:0009408,response to heat,biological_process
GO:0009409,response to cold,biological_process
GO:0042626,"ATPase activity, coupled to transmembrane movement of substances",molecular_function
GO:0009733,response to auxin,biological_process
GO:0007389,pattern specification process,biological_process
GO:0009725,response to hormone,biological_process
GO:0009734,auxin-activated signaling pathway,biological_process
GO:0048829,root cap development,biological_process
GO:0051301,cell division,biological_process
GO:0009644,response to high light intensity,biological_process
GO:0019538,protein metabolic process,biological_process
GO:0043335,protein unfolding,biological_process
GO:0006094,gluconeogenesis,biological_process
GO:0006635,fatty acid beta-oxidation,biological_process
GO:0006888,ER to Golgi vesicle-mediated transport,biological_process
GO:0007010,cytoskeleton organization,biological_process
GO:0009407,toxin catabolic process,biological_process
GO:0009506,plasmodesma,cellular_component
GO:0009735,response to cytokinin,biological_process
GO:0009853,photorespiration,biological_process
GO:0043090,amino acid import,biological_process
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,biological_process
GO:0051788,response to misfolded protein,biological_process
GO:0080129,proteasome core complex assembly,biological_process
GO:0005665,"DNA-directed RNA polymerase II, core complex",cellular_component
GO:0004642,phosphoribosylformylglycinamidine synthase activity,molecular_function
GO:0006189,'de novo' IMP biosynthetic process,biological_process
GO:0006541,glutamine metabolic process,biological_process
GO:0055046,microgametogenesis,biological_process
GO:0016881,acid-amino acid ligase activity,molecular_function
GO:0000266,mitochondrial fission,biological_process
GO:0009791,post-embryonic development,biological_process
GO:0016559,peroxisome fission,biological_process
GO:0035091,phosphatidylinositol binding,molecular_function
GO:0005887,integral component of plasma membrane,cellular_component
GO:0008643,carbohydrate transport,biological_process
GO:0051119,sugar transmembrane transporter activity,molecular_function
GO:0005388,calcium-transporting ATPase activity,molecular_function
GO:0005516,calmodulin binding,molecular_function
GO:0006812,cation transport,biological_process
GO:0019829,cation-transporting ATPase activity,molecular_function
GO:0070588,calcium ion transmembrane transport,biological_process
GO:0005759,mitochondrial matrix,cellular_component
GO:0009019,tRNA (guanine-N1-)-methyltransferase activity,molecular_function
GO:0030488,tRNA methylation,biological_process
GO:0052906,tRNA (guanine(37)-N(1))-methyltransferase activity,molecular_function
GO:0016798,"hydrolase activity, acting on glycosyl bonds",molecular_function
GO:0006914,autophagy,biological_process
GO:0015935,small ribosomal subunit,cellular_component
GO:0022626,cytosolic ribosome,cellular_component
GO:0022627,cytosolic small ribosomal subunit,cellular_component
GO:0006397,mRNA processing,biological_process
GO:0008080,N-acetyltransferase activity,molecular_function
GO:0005986,sucrose biosynthetic process,biological_process
GO:0006012,galactose metabolic process,biological_process
GO:0009414,response to water deprivation,biological_process
GO:0010325,raffinose family oligosaccharide biosynthetic process,biological_process
GO:0019593,mannitol biosynthetic process,biological_process
GO:0047274,galactinol-sucrose galactosyltransferase activity,molecular_function
GO:0009741,response to brassinosteroid,biological_process
GO:0010228,vegetative to reproductive phase transition of meristem,biological_process
GO:0033169,histone H3-K9 demethylation,biological_process
GO:0035067,negative regulation of histone acetylation,biological_process
GO:0048366,leaf development,biological_process
GO:0005771,multivesicular body,cellular_component
GO:0006623,protein targeting to vacuole,biological_process
GO:0030904,retromer complex,cellular_component
GO:0042147,"retrograde transport, endosome to Golgi",biological_process
GO:0005249,voltage-gated potassium channel activity,molecular_function
GO:0005267,potassium channel activity,molecular_function
GO:0005774,vacuolar membrane,cellular_component
GO:0030007,cellular potassium ion homeostasis,biological_process
GO:0071805,potassium ion transmembrane transport,biological_process
GO:0006811,ion transport,biological_process
GO:0010029,regulation of seed germination,biological_process
GO:0010119,regulation of stomatal movement,biological_process
GO:0015269,calcium-activated potassium channel activity,molecular_function
GO:0051260,protein homooligomerization,biological_process
GO:0015926,glucosidase activity,molecular_function
GO:0046686,response to cadmium ion,biological_process
GO:0004857,enzyme inhibitor activity,molecular_function
GO:0045490,pectin catabolic process,biological_process
GO:0009535,chloroplast thylakoid membrane,cellular_component
GO:0010287,plastoglobule,cellular_component
GO:0008511,sodium:potassium:chloride symporter activity,molecular_function
GO:0015377,cation:chloride symporter activity,molecular_function
GO:0016607,nuclear speck,cellular_component
GO:0004559,alpha-mannosidase activity,molecular_function
GO:0006013,mannose metabolic process,biological_process
GO:0015923,mannosidase activity,molecular_function
GO:0006334,nucleosome assembly,biological_process
GO:0006869,lipid transport,biological_process
GO:0008289,lipid binding,molecular_function
GO:0000156,phosphorelay response regulator activity,molecular_function
GO:0000160,phosphorelay signal transduction system,biological_process
GO:0009517,PSII associated light-harvesting complex II,cellular_component
GO:0009688,abscisic acid biosynthetic process,biological_process
GO:0010117,photoprotection,biological_process
GO:0016122,xanthophyll metabolic process,biological_process
GO:0032928,regulation of superoxide anion generation,biological_process
GO:0048235,pollen sperm cell differentiation,biological_process
GO:0003729,mRNA binding,molecular_function
GO:0005685,U1 snRNP,cellular_component
GO:0006376,mRNA splice site selection,biological_process
GO:0004801,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity,molecular_function
GO:0006084,acetyl-CoA metabolic process,biological_process
GO:0019344,cysteine biosynthetic process,biological_process
GO:0008463,formylmethionine deformylase activity,molecular_function
GO:0042586,peptide deformylase activity,molecular_function
GO:0043686,co-translational protein modification,biological_process
GO:0009736,cytokinin-activated signaling pathway,biological_process
GO:0009927,histidine phosphotransfer kinase activity,molecular_function
GO:0080036,regulation of cytokinin-activated signaling pathway,biological_process
GO:0005856,cytoskeleton,cellular_component
GO:0005885,Arp2/3 protein complex,cellular_component
GO:0030833,regulation of actin filament polymerization,biological_process
GO:0034314,Arp2/3 complex-mediated actin nucleation,biological_process
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",molecular_function
GO:0010167,response to nitrate,biological_process
GO:0015112,nitrate transmembrane transporter activity,molecular_function
GO:0015706,nitrate transport,biological_process
GO:0001676,long-chain fatty acid metabolic process,biological_process
GO:0002213,defense response to insect,biological_process
GO:0003995,acyl-CoA dehydrogenase activity,molecular_function
GO:0003997,acyl-CoA oxidase activity,molecular_function
GO:0006631,fatty acid metabolic process,biological_process
GO:0009620,response to fungus,biological_process
GO:0009695,jasmonic acid biosynthetic process,biological_process
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",molecular_function
GO:0022625,cytosolic large ribosomal subunit,cellular_component
GO:0048467,gynoecium development,biological_process
GO:0030125,clathrin vesicle coat,cellular_component
GO:0034976,response to endoplasmic reticulum stress,biological_process
GO:0004362,glutathione-disulfide reductase activity,molecular_function
GO:0006749,glutathione metabolic process,biological_process
GO:0016668,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor",molecular_function
GO:0050661,NADP binding,molecular_function
GO:0008652,cellular amino acid biosynthetic process,biological_process
GO:0009086,methionine biosynthetic process,biological_process
GO:0010309,acireductone dioxygenase [iron(II)-requiring] activity,molecular_function
GO:0019509,L-methionine biosynthetic process from methylthioadenosine,biological_process
GO:0006109,regulation of carbohydrate metabolic process,biological_process
GO:0006110,regulation of glycolytic process,biological_process
GO:0007275,multicellular organismal development,biological_process
GO:0019432,triglyceride biosynthetic process,biological_process
GO:0007166,cell surface receptor signaling pathway,biological_process
GO:0009311,oligosaccharide metabolic process,biological_process
GO:0009615,response to virus,biological_process
GO:0009751,response to salicylic acid,biological_process
GO:0009992,cellular water homeostasis,biological_process
GO:0048527,lateral root development,biological_process
GO:0000096,sulfur amino acid metabolic process,biological_process
GO:0004765,shikimate kinase activity,molecular_function
GO:0006546,glycine catabolic process,biological_process
GO:0006636,unsaturated fatty acid biosynthetic process,biological_process
GO:0006733,oxidoreduction coenzyme metabolic process,biological_process
GO:0006766,vitamin metabolic process,biological_process
GO:0009069,serine family amino acid metabolic process,biological_process
GO:0009072,aromatic amino acid family metabolic process,biological_process
GO:0009073,aromatic amino acid family biosynthetic process,biological_process
GO:0009106,lipoate metabolic process,biological_process
GO:0009108,coenzyme biosynthetic process,biological_process
GO:0009117,nucleotide metabolic process,biological_process
GO:0009965,leaf morphogenesis,biological_process
GO:0010207,photosystem II assembly,biological_process
GO:0016226,iron-sulfur cluster assembly,biological_process
GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",biological_process
GO:0019748,secondary metabolic process,biological_process
GO:0030154,cell differentiation,biological_process
GO:0044272,sulfur compound biosynthetic process,biological_process
GO:0006310,DNA recombination,biological_process
GO:0004069,L-aspartate:2-oxoglutarate aminotransferase activity,molecular_function
GO:0006520,cellular amino acid metabolic process,biological_process
GO:0080130,L-phenylalanine:2-oxoglutarate aminotransferase activity,molecular_function
GO:0050826,response to freezing,biological_process
GO:0003678,DNA helicase activity,molecular_function
GO:0032508,DNA duplex unwinding,biological_process
GO:0043141,ATP-dependent 5'-3' DNA helicase activity,molecular_function
GO:0048507,meristem development,biological_process
GO:2000072,"regulation of defense response to fungus, incompatible interaction",biological_process
GO:0004175,endopeptidase activity,molecular_function
GO:0004298,threonine-type endopeptidase activity,molecular_function
GO:0005839,proteasome core complex,cellular_component
GO:0051603,proteolysis involved in cellular protein catabolic process,biological_process
GO:0004970,ionotropic glutamate receptor activity,molecular_function
GO:0005234,extracellular-glutamate-gated ion channel activity,molecular_function
GO:0035235,ionotropic glutamate receptor signaling pathway,biological_process
GO:0008654,phospholipid biosynthetic process,biological_process
GO:0005744,mitochondrial inner membrane presequence translocase complex,cellular_component
GO:0030150,protein import into mitochondrial matrix,biological_process
GO:0000922,spindle pole,cellular_component
GO:0005815,microtubule organizing center,cellular_component
GO:0090063,positive regulation of microtubule nucleation,biological_process
GO:0009910,negative regulation of flower development,biological_process
GO:0010224,response to UV-B,biological_process
GO:0006024,glycosaminoglycan biosynthetic process,biological_process
GO:0015012,heparan sulfate proteoglycan biosynthetic process,biological_process
GO:0009269,response to desiccation,biological_process
